1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour pneumopathie,Taux d'hospitalisations après passages aux urgences pour pneumopathie,Taux d'actes médicaux SOS médecins pour pneumopathie
2024-05-06,2024-S19,28,Normandie,Tous âges,1599.8197386,5020.3873598,2118.3234983
2024-05-13,2024-S20,28,Normandie,00-04 ans,899.55022489,2272.7272727,2555.1684088
2024-05-13,2024-S20,28,Normandie,05-14 ans,466.60834062,881.05726872,1343.1013431
2024-05-13,2024-S20,28,Normandie,15-64 ans,746.56819459,2268.1787859,1409.514221
2024-05-20,2024-S21,28,Normandie,15-64 ans,493.17770837,1425.5167498,972.86226318
2024-05-20,2024-S21,28,Normandie,65 ans ou plus,3495.2606635,6347.4387528,4618.4738956
2024-05-27,2024-S22,28,Normandie,00-04 ans,1350.6753377,2500.0,693.06930693
2024-05-27,2024-S22,28,Normandie,Tous âges,1435.9666892,4608.0508475,1050.1193317
2024-06-03,2024-S23,28,Normandie,15-64 ans,720.2076878,2591.3621262,603.40098738
2024-06-03,2024-S23,28,Normandie,Tous âges,1383.0660846,4735.0908626,1147.4103586
2024-06-10,2024-S24,28,Normandie,05-14 ans,519.03114187,2678.5714286,874.63556851
2024-06-10,2024-S24,28,Normandie,65 ans ou plus,3503.2437442,6199.7160435,6415.9292035
2024-06-10,2024-S24,28,Normandie,Tous âges,1360.3963839,4333.0912612,1251.8054887
2024-06-17,2024-S25,28,Normandie,00-04 ans,1360.8634444,1930.5019305,1722.4880383
2024-06-17,2024-S25,28,Normandie,Tous âges,1440.462328,4732.4083251,1426.9680936
2024-06-24,2024-S26,28,Normandie,05-14 ans,383.26413286,450.45045045,1324.5033113
2024-07-01,2024-S27,28,Normandie,00-04 ans,855.99194361,2272.7272727,1175.3183154
2024-07-08,2024-S28,28,Normandie,65 ans ou plus,3019.0158792,5575.82074,3313.8401559
2024-07-15,2024-S29,28,Normandie,15-64 ans,646.55172414,2268.0412371,806.93365212
2024-07-15,2024-S29,28,Normandie,Tous âges,1252.1315469,3730.383329,1102.0881671
2024-07-22,2024-S30,28,Normandie,00-04 ans,500.27793218,571.42857143,895.14066496
2024-07-22,2024-S30,28,Normandie,65 ans ou plus,3001.3381763,5760.2490919,5139.1862955
2024-07-29,2024-S31,28,Normandie,65 ans ou plus,3183.4844685,6114.918292,3454.5454545
2024-08-05,2024-S32,28,Normandie,00-04 ans,448.17927171,602.40963855,1391.0355487
2024-08-05,2024-S32,28,Normandie,65 ans ou plus,2445.2092012,4806.6875653,2646.5028355
2024-08-05,2024-S32,28,Normandie,Tous âges,1052.0727764,3558.1518853,1032.7706058
2024-08-12,2024-S33,28,Normandie,05-14 ans,517.1603197,523.56020942,312.5
2024-08-12,2024-S33,28,Normandie,15-64 ans,438.00539084,1670.9511568,618.62047634
2024-08-19,2024-S34,28,Normandie,65 ans ou plus,2803.3794163,5090.9090909,3375.5274262
2024-08-26,2024-S35,28,Normandie,05-14 ans,249.62556166,1183.4319527,1060.6060606
2024-08-26,2024-S35,28,Normandie,65 ans ou plus,2621.5805471,4437.8698225,1856.1484919
2024-09-02,2024-S36,28,Normandie,00-04 ans,399.77155911,497.51243781,475.62425684
2024-09-02,2024-S36,28,Normandie,65 ans ou plus,2618.952419,4858.5157501,4188.4816754
2024-09-09,2024-S37,28,Normandie,65 ans ou plus,3484.5240413,6353.0552861,2570.6940874
2024-09-09,2024-S37,28,Normandie,Tous âges,1223.8819861,3971.5616573,784.24828967
2024-09-16,2024-S38,28,Normandie,00-04 ans,1073.0499381,2371.541502,1132.4041812
2024-09-16,2024-S38,28,Normandie,15-64 ans,848.27920504,2699.309479,801.80405913
2024-09-23,2024-S39,28,Normandie,Tous âges,1498.9962079,4500.7378259,1428.7862837
2024-09-30,2024-S40,28,Normandie,00-04 ans,1297.5778547,4347.826087,955.69070374
2024-09-30,2024-S40,28,Normandie,65 ans ou plus,3652.7165932,6448.5981308,6359.6491228
2024-10-07,2024-S41,28,Normandie,05-14 ans,386.47342995,1834.8623853,1109.8779134
2024-10-07,2024-S41,28,Normandie,Tous âges,1486.4149612,4593.207916,1194.9099938
2024-10-14,2024-S42,28,Normandie,05-14 ans,133.64517207,507.6142132,1492.5373134
2024-10-14,2024-S42,28,Normandie,15-64 ans,633.76711171,1898.7341772,1144.7468837
2024-10-14,2024-S42,28,Normandie,Tous âges,1243.2915921,3699.1968849,1533.5560279
2024-10-21,2024-S43,28,Normandie,00-04 ans,774.84047402,1895.7345972,1685.8237548
2024-10-21,2024-S43,28,Normandie,05-14 ans,349.12718204,1704.5454545,1668.984701
2024-10-21,2024-S43,28,Normandie,15-64 ans,734.0585478,2262.7737226,1298.7012987
2024-11-04,2024-S45,28,Normandie,00-04 ans,706.00100857,873.36244541,1037.7358491
2024-11-04,2024-S45,28,Normandie,05-14 ans,290.90909091,431.03448276,1062.4169987
2024-11-11,2024-S46,28,Normandie,65 ans ou plus,3580.6132542,6087.383407,5117.2707889
2024-11-11,2024-S46,28,Normandie,Tous âges,1473.4774067,4215.8092848,1402.073901
2024-11-18,2024-S47,28,Normandie,15-64 ans,796.96042999,2272.7272727,1014.957265
2024-11-25,2024-S48,28,Normandie,00-04 ans,1945.8222053,5214.7239264,1974.6121298
2024-11-25,2024-S48,28,Normandie,15-64 ans,685.35278095,2396.804261,748.26296098
2024-11-25,2024-S48,28,Normandie,Tous âges,1591.9152171,4723.4749585,1390.3268747
2024-12-02,2024-S49,28,Normandie,15-64 ans,996.79601282,2989.1304348,843.12723556
2024-12-09,2024-S50,28,Normandie,65 ans ou plus,4491.8998527,8016.1218092,7812.5
2024-12-16,2024-S51,28,Normandie,65 ans ou plus,5462.8224583,8941.3749473,6172.8395062
2024-12-23,2024-S52,28,Normandie,00-04 ans,1821.8623482,4392.7648579,1946.6474405
2024-12-23,2024-S52,28,Normandie,Tous âges,2865.494486,7802.690583,2489.0397398
2019-12-30,2020-S01,32,Hauts-de-France,00-04 ans,1261.9502868,3010.0334448,576.78442682
