1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour allergie,Taux d'hospitalisations après passages aux urgences pour allergie,Taux d'actes médicaux SOS médecins pour allergie
2024-04-22,2024-S17,27,Bourgogne et Franche-Comté,00-14 ans,1007.8023407,335.5704698,2392.9471033
2024-04-29,2024-S18,27,Bourgogne et Franche-Comté,65 ans ou plus,275.41886619,101.7293998,1290.3225806
2024-05-06,2024-S19,27,Bourgogne et Franche-Comté,65 ans ou plus,403.58744395,161.37708445,1049.8687664
2024-05-13,2024-S20,27,Bourgogne et Franche-Comté,00-14 ans,1787.1017871,576.36887608,4426.7877412
2024-05-13,2024-S20,27,Bourgogne et Franche-Comté,65 ans ou plus,360.44154089,316.28887717,0.0
2024-05-20,2024-S21,27,Bourgogne et Franche-Comté,65 ans ou plus,301.20481928,54.318305269,1694.9152542
2024-06-03,2024-S23,27,Bourgogne et Franche-Comté,15-64 ans,1055.2451893,790.16681299,4731.5257842
2024-06-03,2024-S23,27,Bourgogne et Franche-Comté,65 ans ou plus,362.23134509,271.59152634,1474.9262537
2024-06-10,2024-S24,27,Bourgogne et Franche-Comté,65 ans ou plus,409.73728609,56.785917093,1071.4285714
2024-06-10,2024-S24,27,Bourgogne et Franche-Comté,Tous âges,882.09715493,242.35080279,3933.1062248
2024-06-17,2024-S25,27,Bourgogne et Franche-Comté,65 ans ou plus,647.75519321,253.03643725,872.09302326
2024-06-24,2024-S26,27,Bourgogne et Franche-Comté,15-64 ans,1386.3428048,856.0311284,2770.0831025
2024-07-01,2024-S27,27,Bourgogne et Franche-Comté,15-64 ans,969.36333174,676.18332081,1921.9569016
2024-07-01,2024-S27,27,Bourgogne et Franche-Comté,65 ans ou plus,729.42785503,330.39647577,701.75438596
2024-07-08,2024-S28,27,Bourgogne et Franche-Comté,00-14 ans,1256.5751023,312.5,2275.7697456
2024-07-08,2024-S28,27,Bourgogne et Franche-Comté,65 ans ou plus,805.04786771,313.47962382,1246.105919
2024-07-15,2024-S29,27,Bourgogne et Franche-Comté,00-14 ans,2064.0788663,711.74377224,2945.5081001
2024-07-15,2024-S29,27,Bourgogne et Franche-Comté,15-64 ans,1513.0190007,876.4940239,2009.184845
2024-07-22,2024-S30,27,Bourgogne et Franche-Comté,00-14 ans,1735.64753,1086.9565217,2297.0903522
2024-07-22,2024-S30,27,Bourgogne et Franche-Comté,15-64 ans,1256.0386473,526.77787533,2189.7810219
2024-07-29,2024-S31,27,Bourgogne et Franche-Comté,15-64 ans,1537.0063845,1239.6694215,1828.9085546
2024-08-19,2024-S34,27,Bourgogne et Franche-Comté,Tous âges,1028.7241149,449.37088077,1731.4351674
2024-09-02,2024-S36,27,Bourgogne et Franche-Comté,00-14 ans,1353.6379019,1730.1038062,1969.0576653
2024-09-09,2024-S37,27,Bourgogne et Franche-Comté,00-14 ans,1397.7868375,879.76539589,1206.0301508
2024-09-16,2024-S38,27,Bourgogne et Franche-Comté,00-14 ans,944.13847364,607.90273556,667.9389313
2024-09-16,2024-S38,27,Bourgogne et Franche-Comté,15-64 ans,1084.0761262,1165.695254,1145.7378552
2024-09-16,2024-S38,27,Bourgogne et Franche-Comté,Tous âges,825.05269497,508.18746471,929.57746479
2024-09-23,2024-S39,27,Bourgogne et Franche-Comté,15-64 ans,1037.895245,887.81275222,1167.1335201
2024-09-23,2024-S39,27,Bourgogne et Franche-Comté,Tous âges,875.73234659,465.52225778,1048.5320551
2024-09-30,2024-S40,27,Bourgogne et Franche-Comté,15-64 ans,777.23454933,247.3206925,815.1008151
2024-10-07,2024-S41,27,Bourgogne et Franche-Comté,15-64 ans,981.22350091,650.40650407,672.04301075
2024-10-07,2024-S41,27,Bourgogne et Franche-Comté,65 ans ou plus,398.4063745,195.8863859,286.53295129
2024-10-07,2024-S41,27,Bourgogne et Franche-Comté,Tous âges,871.20750579,393.47948286,589.55642897
2024-10-21,2024-S43,27,Bourgogne et Franche-Comté,65 ans ou plus,595.10689883,307.37704918,1017.8117048
2024-10-28,2024-S44,27,Bourgogne et Franche-Comté,15-64 ans,878.68852459,764.65590484,1217.3128945
2024-10-28,2024-S44,27,Bourgogne et Franche-Comté,Tous âges,861.09071491,400.0,1242.4075097
2024-11-11,2024-S46,27,Bourgogne et Franche-Comté,00-14 ans,974.71824551,328.94736842,624.44246209
2024-11-11,2024-S46,27,Bourgogne et Franche-Comté,Tous âges,673.29062623,299.58058718,794.52054795
2021-11-22,2021-S47,27,Bourgogne et Franche-Comté,00-14 ans,856.73488815,492.61083744,653.59477124
2021-11-22,2021-S47,27,Bourgogne et Franche-Comté,15-64 ans,730.99415205,165.15276631,1282.916948
2021-11-29,2021-S48,27,Bourgogne et Franche-Comté,Tous âges,662.54140884,148.41199169,996.44128114
2021-12-13,2021-S50,27,Bourgogne et Franche-Comté,65 ans ou plus,323.14193388,216.68472373,829.87551867
2021-12-20,2021-S51,27,Bourgogne et Franche-Comté,00-14 ans,1298.3180879,1362.3978202,848.48484848
2021-12-20,2021-S51,27,Bourgogne et Franche-Comté,15-64 ans,1251.2030799,912.40875912,1049.4752624
